Word,Review Count,Positive Sentiment Count,Negative Sentiment Count
wikipedia,33,28,5
offline,30,28,1
great,15,15,0
wiki,15,14,1
noch,12,11,0
sehr,11,10,1
schnell,10,10,0
download,10,6,4
man,10,8,2
best,10,10,0
good,10,8,1
use,10,10,0
aktuelle,10,10,0
works,10,8,2
super,9,9,0
wikidroyd,9,9,0
словарей,8,3,3
reader,8,8,0
perfect,8,8,0
gut,8,8,0
search,8,8,0
thanks,7,4,3
version,7,7,0
needs,7,7,0
dictionaries,7,4,3
funktioniert,6,5,1
suche,6,5,1
bilder,6,6,0
keine,6,5,1
also,6,5,1
link,6,3,3
english,6,5,0
one,6,5,1
articles,6,6,0
well,6,5,1
fast,6,6,0
программа,5,3,1
toll,5,5,0
ausland,5,5,0
alles,5,3,1
leider,5,3,1
better,5,5,0
richtig,5,4,1
open,5,3,1
option,5,4,1
like,5,5,0
praktisch,5,4,0
per,4,4,0
buena,4,4,0
file,4,3,1
get,4,4,0
sache,4,3,1
wörterbücher,4,2,2
mir,4,3,1
deutsche,4,0,4
habe,4,3,1
gibt,4,4,0
immer,4,2,1
simple,4,4,0
found,4,3,1
data,4,4,0
add,4,3,1
danke,4,4,0
will,4,4,0
это,4,3,1
schon,4,3,0
program,4,4,0
artikel,4,3,1
excellent,4,4,0
wären,4,3,1
nice,4,4,0
mal,3,3,0
innerhalb,3,3,0
inhalte,3,2,1
mehr,3,3,0
jahr,3,3,0
format,3,3,0
ganzen,3,2,1
wollte,3,0,3
even,3,3,0
wikipedia,3,2,1
dann,3,2,1
über,3,2,1
kommt,3,1,2
Отличное,3,3,0
programm,3,1,2
seite,3,2,1
source,3,3,0
problem,3,1,2
please,3,2,1
possibility,3,2,1
find,3,3,0
macht,3,2,1
поиска,3,2,0
такое,3,1,0
что,3,1,1
datei,3,3,0
dati,3,3,0
einfach,3,3,0
10gb,3,3,0
wish,3,3,0
wiktionary,3,2,0
almost,3,3,0
just,3,3,0
results,3,3,0
fixed,3,2,1
понять,3,2,1
android,3,3,0
reader,3,3,0
Хорошо,3,3,0
awesome,3,3,0
nützlich,3,2,0
directly,3,2,1
geladen,3,3,0
meinen,3,2,1
aar,3,2,1
ohne,3,2,1
top,3,3,0
alt,3,2,1
статьях,3,3,0
can,3,3,0
without,3,3,0
отлично,3,3,0
hat,3,3,0
copy,3,3,0
free,3,3,0
looks,3,2,1
much,3,3,0
linux,3,3,0
stable,3,3,0
full,3,3,0
update,3,3,0
online,3,2,1
fantastic,3,3,0
accurate,3,3,0
Скачала,2,0,2
wordnet,2,2,0
datenbank,2,2,0
andere,2,2,0
wikipedia-artikel,2,2,0
play,2,2,0
difference,2,2,0
new,2,2,0
dafür,2,1,1
utile,2,2,0
diccionario,2,2,0
nix,2,0,2
direkt,2,1,1
beim,2,1,1
files,2,1,1
problem,2,1,1
zeit,2,2,0
führt,2,1,1
vorhanden,2,1,1
sagt,2,0,2
sinnvollen,2,2,0
store,2,2,0
integración,2,2,0
téléchargement,2,1,1
developers,2,2,0
rendering,2,2,0
know,2,2,0
browse,2,2,0
way,2,2,0
button,2,2,0
скачал,2,1,0
galaxy,2,1,0
сам,2,1,0
советую,2,1,0
сделать,2,1,0
information,2,2,0
wikipedia,2,2,0
sempre,2,2,0
spero,2,2,0
dizionari,2,2,0
windows,2,2,0
perfekt,2,1,1
application,2,1,1
instant,2,2,0
access,2,2,0
settings,2,2,0
two,2,2,0
pics,2,2,0
darstellung,2,1,0
offline-wikipedia,2,2,0
load,2,1,0
corrupted,2,1,0
think,2,1,1
choose,2,2,0
нет,2,1,1
igor,2,1,1
tkach,2,1,1
save,2,2,0
истории,2,2,0
хорошо,2,2,0
content,2,2,0
containing,2,2,0
right,2,2,0
now,2,2,0
entry,2,2,0
actual,2,2,0
shown,2,2,0
sito,2,2,0
géniale,2,2,0
old,2,1,1
coole,2,2,0
consultarlas,2,2,0
genau,2,2,0
apk,2,2,0
laptop,2,2,0
einmal,2,2,0
database,2,1,1
size,2,2,0
wikireader,2,2,0
rechte,2,2,0
для,2,0,1
htc,2,1,1
zoom,2,1,1
возможно,2,2,0
complimenti,2,2,0
viele,2,2,0
nur,2,2,0
без,2,2,0
класс,2,2,0
maemo,2,2,0
n800,2,2,0
Игорь,2,2,0
stern,2,1,1
another,2,2,0
finally,2,2,0
selber,2,2,0
würden,2,2,0
dict,2,1,0
quality,2,2,0
waste,2,1,1
time,2,2,0
easy,2,1,1
windows,2,1,1
available,2,1,1
КЭШ,2,2,0
devices,2,1,1
могу,2,2,0
verbindung,2,2,0
mich,2,2,0
internet,2,2,0
view,2,2,0
stars,2,2,0
вики,2,2,0
под,2,2,0
wichtigsten,2,2,0
formeln,2,2,0
dargestellt,2,2,0
galaxy,2,2,0
whole,2,2,0
приложение,2,2,0
добавить,2,2,0
starts,2,1,1
unlike,2,2,0
типов,2,2,0
recent,2,2,0
site,2,1,1
tried,2,1,1
says,2,0,1
указанного,1,0,1
сайта,1,0,1
находит,1,0,1
Руки,1,0,1
вытянул,1,0,1
посмотрел,1,0,1
вроде,1,0,1
прямые,1,0,1
смог,1,0,1
подключить,1,0,1
nachzuschlagen,1,1,0
egal,1,1,0
wiktionary,1,1,0
jeweiligen,1,1,0
wackligem/lähmen/fehlendem,1,1,0
empfang,1,1,0
sucht,1,1,0
dbs,1,1,0
zugleich,1,1,0
wechselt,1,1,0
zwischen,1,1,0
treffern,1,1,0
taste,1,1,0
artikeln,1,1,0
hyperlinks,1,1,0
folgen,1,1,0
aufgerufen,1,1,0
teilen,1,1,0
tts-app,1,1,0
vorlesen,1,1,0
senden,1,1,0
aard2,1,1,0
lesezeichen,1,1,0
nachschlagen,1,1,0
2016,1,1,0
روووووووعه,1,1,0
chida,1,1,0
felicitaciones,1,1,0
eficiente,1,1,0
store,1,1,0
features,1,1,0
weiß,1,0,1
welcher,1,0,1
runterladen,1,0,1
brauch,1,0,1
imagino,1,1,0
celular,1,1,0
conexión,1,1,0
simplemente,1,1,0
increíble,1,1,0
imprescindible,1,1,0
runtergeladen,1,0,1
klappte,1,0,1
öffnen,1,0,1
kam,1,0,1
probiert,1,0,1
meldung,1,0,1
fehler,1,0,1
laden,1,0,1
schlucken,1,1,0
zwar,1,1,0
3-4,1,1,0
überall,1,1,0
info,1,1,0
grandios,1,1,0
kompl,1,1,0
handy,1,1,0
Сто,1,1,0
раз,1,1,0
спасало,1,1,0
учёбе,1,1,0
öffnet,1,0,1
folgt,1,0,1
überladenen,1,0,1
menge,1,0,1
irreführenden,1,0,1
eigentlich,1,0,1
führen,1,0,1
anklickt,1,0,1
gerät,1,0,1
schaden,1,0,1
verursachen,1,0,1
tut,1,0,1
Лучший,1,1,0
wenigen,1,1,0
datenmüll,1,1,0
glückwunsch,1,1,0
lecteurs,1,1,0
d'ebook,1,1,0
individuelle,1,1,0
recherche,1,1,0
l'anglais,1,1,0
pratique,1,1,0
rapide,1,1,0
faced,1,1,0
essential,1,1,0
liens,1,0,1
permettant,1,0,1
indisponibles,1,0,1
réparer,1,0,1
toute,1,0,1
urgence,1,0,1
unavailable,1,0,1
since,1,0,1
several,1,0,1
days,1,0,1
correct,1,0,1
soon,1,0,1
dictionnaries,1,0,1
bedienung,1,1,0
vorallem,1,1,0
luft,1,1,0
oben,1,1,0
siehe,1,1,0
sicher,1,1,0
komfort,1,1,0
allerdings,1,1,0
selbstarter,1,1,0
laufen,1,1,0
unnötig,1,1,0
replacement,1,1,0
abandoned,1,1,0
unusable,1,1,0
kitkat,1,1,0
phones,1,1,0
although,1,1,0
8gb,1,1,0
14gb,1,1,0
chose,1,1,0
bigger,1,1,0
history,1,1,0
favorites,1,1,0
maybe,1,1,0
bookmark,1,1,0
many,1,1,0
interlinked,1,1,0
interesting,1,1,0
mark,1,1,0
next,1,1,0
exit,1,1,0
forward,1,1,0
rewind,1,1,0
único,1,1,0
artículos,1,1,0
están,1,1,0
blanco,1,1,0
dice,1,1,0
При,1,0,0
запуске,1,0,0
нажимаю,1,0,0
сканировать,1,0,0
есть,1,0,0
уже,1,0,0
виснет,1,0,0
крутит,1,0,0
иконку,1,0,0
все,1,0,0
процессах,1,0,0
сразу,1,0,0
становится,1,0,0
красной,1,0,0
Ждала,1,0,0
пару,1,0,0
часов,1,0,0
Скачиваю,1,0,0
ссылке,1,0,0
запускаю,1,0,0
там,1,0,0
опять,1,0,0
Система,1,0,0
note,1,0,0
iii,1,0,0
Удаляла,1,0,0
переустанавливала,1,0,0
Дайте,1,0,0
чтобы,1,0,0
заработало,1,0,0
работает,1,0,0
etc,1,1,0
bitte,1,1,0
dunklen,1,1,0
modus,1,1,0
ergänzen,1,1,0
nachtmodus,1,1,0
portata,1,1,0
manca,1,1,0
connessione,1,1,0
possa,1,1,0
possibilità,1,1,0
costruire,1,1,0
piattaforma,1,1,0
utilissima,1,1,0
Пять,1,1,0
Ничего,1,1,0
лишнего,1,1,0
leute,1,1,0
beschäftigen,1,1,0
xperia,1,1,0
compact,1,1,0
lassen,1,1,0
anklicken,1,1,0
runs,1,1,0
giving,1,1,0
equal,1,1,0
hundred,1,1,0
volume,1,1,0
encyclapedia,1,1,0
child,1,1,0
encyclopedias,1,1,0
cover,1,1,0
love,1,1,0
paragaph,1,1,0
popup,1,1,0
preview,1,1,0
underlined,1,1,0
hold,1,1,0
finger,1,1,0
jumping,1,1,0
want,1,1,0
this--with,1,1,0
fact,1,1,0
anywhere,1,1,0
übersichtlicher,1,1,0
samsung,1,1,0
benutze,1,1,0
anzeige,1,1,0
ausgezeichnet,1,1,0
beeindruckt,1,1,0
insbesondere,1,1,0
bezproblémová,1,1,0
aplikace,1,1,0
dělající,1,1,0
dobrý,1,1,0
pomocník,1,1,0
xtremly,1,1,0
date,1,1,0
italia,1,1,0
engine,1,1,0
dimension,1,1,0
characters,1,1,0
inside,1,1,0
line,1,1,0
выдает,1,0,1
Как,1,0,1
тогда,1,0,1
скачивала,1,0,1
see,1,1,0
fehlt,1,1,0
favouriten-verwaltung,1,1,0
abstand,1,1,0
webseite,1,1,0
anbieters,1,1,0
packages,1,1,0
herunterladen,1,1,0
wiki-reader,1,1,0
on-the-go,1,1,0
handy,1,1,0
favorites/bookmarks,1,1,0
Отсутствуют,1,1,0
закладки,1,1,0
посещений,1,1,0
целом,1,1,0
прога,1,1,0
kiwix,1,1,0
begin,1,1,0
term,1,1,0
displayed,1,1,0
function,1,1,0
within,1,1,0
entire,1,1,0
name,1,1,0
output,1,1,0
lot,1,1,0
user,1,1,0
example,1,1,0
thermodynamics,1,1,0
show,1,1,0
however,1,1,0
first,1,1,0
law,1,1,0
made,1,1,0
disappointment,1,1,0
wonderful,1,1,0
method,1,1,0
merci,1,1,0
ext,1,1,0
c'est,1,1,0
volumineux,1,1,0
wikipedia-wissen,1,0,0
verwendung,1,0,0
oft,1,0,0
hilfreich,1,0,0
einige,1,0,0
schwächen,1,0,0
verbessert,1,0,0
könnten,1,0,0
german,1,1,0
mhbraun,1,1,0
issues,1,1,0
nearly,1,1,0
year,1,1,0
español,1,1,0
combinación,1,1,0
leer,1,1,0
palabras,1,1,0
conectado,1,1,0
gesucht,1,1,0
asses,1,1,0
"favorites""-list",1,1,0
potential,1,1,0
davvero,1,1,0
ottima,1,1,0
vengano,1,1,0
aggiornati,1,1,0
tylko,1,1,0
jednak,1,1,0
mógłbym,1,1,0
oferować,1,1,0
trochę,1,1,0
więcej,1,1,0
opcji,1,1,0
prosty,1,1,0
świetny,1,1,0
überhaupt,1,1,0
welt,1,1,0
händen,1,1,0
hält,1,1,0
absolutem,1,1,0
muss,1,1,0
nexus,1,1,0
tag,1,1,0
e-mail,1,1,0
schickt,1,1,0
dev,1,1,0
aktualisierte,1,1,0
löst,1,1,0
übrigens,1,1,0
vorbildlicher,1,1,0
support,1,1,0
gerade,1,1,0
läuft,1,1,0
aufgespielt,1,1,0
aufspielen,1,1,0
etwas,1,1,0
umständlich,1,1,0
ansonsten,1,1,0
must,1,1,0
seperated,1,1,0
small,1,1,0
lower,1,1,0
whether,1,1,0
divided,1,1,0
dazu,1,1,0
leistung,1,1,0
Нет,1,0,1
загрузки,1,0,1
Неработоспособна,1,0,1
hey,1,0,1
sensatio,1,0,1
lief,1,0,1
unbrauchbar,1,0,1
Хотелось,1,1,0
очень,1,1,0
просмотра,1,1,0
рандомных,1,1,0
добавления,1,1,0
закладки(избранное,1,1,0
provide,1,1,0
delete,1,1,0
unwanted,1,1,0
ravisobhan,1,1,0
fatto,1,1,0
bellissima,1,1,0
besser,1,1,0
leo’s,1,1,0
wünsche,1,1,0
Википедия,1,1,0
кармане,1,1,0
доступа,1,1,0
интернет,1,1,0
Быстрая,1,1,0
работа,1,1,0
Пользуюсь,1,1,0
еще,1,1,0
времен,1,1,0
Программа,1,1,0
суперская,1,1,0
Спасибо,1,1,0
Раздражает,1,1,0
совсем,1,1,0
чуть-чуть,1,1,0
маниакальное,1,1,0
висение,1,1,0
памяти,1,1,0
разработчику,1,1,0
виднее,1,1,0
Супер,1,1,0
compiling,1,1,0
Единственное,1,1,0
хватает,1,1,0
фильтра,1,1,0
Приложение,1,1,0
homepage,1,1,0
wiktionarys,1,1,0
sogar,1,1,0
wikipedia-datensatz,1,1,0
erfahrung,1,1,0
langsamen,1,1,0
bestätigen,1,1,0
braucht,1,1,0
geduld,1,1,0
denn,1,1,0
erstmal,1,1,0
augen,1,1,0
allein,1,1,0
anschaffung,1,1,0
smartphones,1,1,0
wert,1,1,0
2011,1,1,0
leben,1,1,0
erachtens,1,1,0
ebenso,1,1,0
bedient,1,1,0
idee,1,1,0
umsetzung,1,1,0
downloadkomfort,1,1,0
höchstens,1,1,0
trotzdem,1,1,0
empfehlen,1,1,0
aufzubringen,1,1,0
verbesserungswürdig,1,1,0
longer,1,1,0
maintained,1,1,0
schlecht,1,1,0
wÄre,1,1,0
stetne,1,1,0
geben,1,1,0
berechtigungen,1,1,0
Сделай,1,1,0
избранное,1,1,0
hervorragemd,1,1,0
einwandfrei,1,1,0
titel,1,0,1
2gb,1,0,1
wiktionary(150mb,1,0,1
aard-homepage,1,0,1
stoppten,1,0,1
spätestens,1,0,1
downloadgeschwindigkeit,1,0,1
niedrig,1,0,1
sinn,1,0,1
taugt,1,0,1
downloadbar,1,0,1
großen,1,1,0
endlich,1,1,0
hervorragend,1,1,0
prima,1,1,0
lesezeichen/bookmarks,1,1,0
verbesserungsvorschlag,1,1,0
nook,1,1,0
touch,1,1,0
paste,1,1,0
weird,1,1,0
waybetter,1,1,0
xdxf's,1,1,0
exactly,1,1,0
glad,1,1,0
totally,1,1,0
freekin,1,1,0
ersetzt,1,1,0
datenbestand,1,1,0
bedienen,1,1,0
ausreichend,1,1,0
wiki-versionen,1,1,0
benuterzn,1,1,0
verfügung,1,1,0
gestellt,1,1,0
geister,1,1,0
fazit,1,1,0
categories,1,0,1
otherwise,1,0,1
edit,1,0,1
make,1,0,1
converter,1,0,1
taxi,1,0,1
tool,1,0,1
ersatz,1,1,0
wikidroid,1,1,0
видать,1,1,0
подразумеваются,1,1,0
ВИКИ,1,1,0
Круть,1,1,0
click,1,0,1
scan,1,0,1
nothing,1,0,1
explorer,1,0,1
doesnt,1,0,1
Работает,1,1,0
сбоев,1,1,0
оффлайн,1,1,0
Объем,1,1,0
информации,1,1,0
огромный,1,1,0
Одну,1,1,0
вещь,1,1,0
как,1,1,0
часто,1,1,0
обновлять,1,1,0
Наилучшая,1,1,0
dump,1,1,0
fuer,1,1,0
unverzichtbare,1,1,0
kombination,1,1,0
jederzeit,1,1,0
ort,1,1,0
mann,1,1,0
verfügbar,1,1,0
feine,1,1,0
mobile,1,1,0
smooth,1,1,0
worthy,1,1,0
delighted,1,1,0
night,1,1,0
mode,1,1,0
power,1,1,0
amoled,1,1,0
screens,1,1,0
rely,1,1,0
connection,1,1,0
highly,1,1,0
software,1,1,0
nokia,1,1,0
recommended,1,1,0
friends,1,1,0
family,1,1,0
light,1,1,0
clean,1,1,0
biggest,1,1,0
drawback,1,1,0
unavoidably,1,1,0
huge,1,1,0
flash,1,1,0
memory,1,1,0
cheaper,1,1,0
shouldn’t,1,1,0
barrier,1,1,0
extremely,1,1,0
application,1,1,0
excellente,1,1,0
surtout,1,1,0
moi,1,1,0
n'ont,1,1,0
accès,1,1,0
bonnement,1,1,0
гига,1,1,0
закинул,1,1,0
оболочку,1,1,0
просто,1,1,0
асер,1,1,0
501,1,1,0
permite,1,1,0
descargar,1,1,0
diferentes,1,1,0
visor,1,1,0
tasche,1,1,0
tragen,1,1,0
möchte,1,1,0
dabei,1,1,0
verzichten,1,1,0
werbung,1,1,0
nutze,1,1,0
halben,1,1,0
beanstanden,1,1,0
Размер,1,0,0
слишком,1,0,0
велик,1,0,0
скачивания,1,0,0
почти,1,0,0
96mb,1,0,0
Для,1,0,0
смартфона,1,0,0
пойдёт,1,0,0
deren,1,1,0
ideal,1,1,0
fehlender,1,1,0
wlan,1,1,0
teilweise,1,1,0
horrenden,1,1,0
datenroaming,1,1,0
kosten,1,1,0
aktuell(er,1,1,0
techniker,1,1,0
erfolgt,1,1,0
corrupted,1,1,0
funzt,1,1,0
wikipaedia,1,1,0
outdated,1,1,0
plz,1,1,0
eng,1,1,0
sd-space,1,1,0
superfast,1,1,0
math-formulas,1,1,0
offline-wiki-app,1,1,0
Лучшее,1,1,0
пожеланий,1,1,0
внутри,1,1,0
открывшейся,1,1,0
huawei,1,1,0
mediapad,1,1,0
некоторых,1,1,0
вызывает,1,1,0
ошибку,1,1,0
schriftgröße,1,1,0
menü,1,1,0
änderbar,1,1,0
merkt,1,1,0
nächsten,1,1,0
findet,1,1,0
relativ,1,1,0
vorteil,1,1,0
gegenüber,1,1,0
zurück,1,1,0
geklickten,1,1,0
artikelanfang,1,1,0
außerdem,1,1,0
mathematische,1,1,0
kleine,1,1,0
auswahl,1,1,0
simpel,1,1,0
gefunden,1,1,0
nachteil,1,1,0
vergleich,1,1,0
online-wikipedia-app,1,1,0
angezeigt,1,1,0
gar,1,1,0
sd-karte,1,1,0
passen,1,1,0
reiner,1,1,0
text-wikipedia,1,1,0
bereits,1,1,0
gib,1,1,0
beansprucht,1,1,0
größter,1,1,0
android-tastatur,1,1,0
wortende,1,1,0
automatisch,1,1,0
hinzugefügte,1,1,0
leerzeichen,1,1,0
entfernt,1,1,0
beachtet,1,1,0
mancher,1,1,0
obwohl,1,1,0
pleasure,1,1,0
someway,1,1,0
string,1,1,0
esp,1,1,0
technical,1,1,0
undistorted,1,1,0
formulae,1,1,0
analogs,1,1,0
guys,1,1,0
Прошраммка,1,1,0
придлагаю,1,1,0
такуе,1,1,0
всем,1,1,0
известную,1,1,0
фишка,1,1,0
которой,1,1,0
почему-то,1,1,0
сдечь,1,1,0
эта-увеличение/уменьшение,1,1,0
размер,1,1,0
текст,1,1,0
жестом,1,1,0
двумя,1,1,0
пальцами,1,1,0
нуьвы,1,1,0
удобно,1,1,0
через,1,1,0
настройки,1,1,0
изменять,1,1,0
баг,1,1,0
или,1,1,0
того,1,1,0
всегда,1,1,0
экран,1,1,0
подгоняет,1,1,0
иногда,1,1,0
торчит,1,1,0
кусочек,1,1,0
гдето,1,1,0
слева,1,1,0
приходится,1,1,0
мспользовать,1,1,0
прокрутку,1,1,0
droide,1,1,0
тоже,1,1,0
бывает,1,1,0
Предложение,1,1,0
Ушел,1,1,0
Теперь,1,1,0
свежий,1,1,0
словарик,1,1,0
amazing,1,1,0
april,1,1,0
2012,1,1,0
compressed,1,1,0
takes,1,1,0
latest,1,1,0
archos,1,1,0
5it/48,1,1,0
previous,1,1,0
temporarily,1,1,0
disable,1,1,0
specific,1,1,0
books,1,1,0
pinch,1,1,0
up-to-date,1,1,0
google,1,1,0
aardc,1,1,0
slow,1,1,0
enter,1,1,0
github,1,1,0
discussion,1,1,0
kind,1,1,0
soul,1,1,0
compiling/sharing,1,1,0
torrents,1,1,0
pocket,1,1,0
consente,1,1,0
scaricare,1,1,0
dal,1,1,0
già,1,1,0
pronti,1,1,0
funzinale,1,1,0
wunderbar,1,1,0
artikelsuche,1,1,0
datenstand,1,1,0
3/12,1,1,0
toolset,1,1,0
erzeugbar,1,1,0
besonderen,1,1,0
notwendig,1,1,0
bester,1,1,0
klasse,1,1,0
unsuccessful,1,0,1
still,1,0,1
turkish,1,0,1
congratulations,1,1,0
last,1,1,0
wiki(100mb,1,1,0
wordnet(50mb,1,1,0
selected,1,1,0
text,1,1,0
guess,1,1,0
implemented,1,1,0
wait,1,1,0
nett,1,1,0
wow,1,1,0
wikipedia-specific,1,1,0
conversion,1,1,0
downside,1,1,0
large,1,1,0
data-file,1,1,0
9gb,1,1,0
wikipedia-only,1,1,0
Все,1,1,0
супер,1,1,0
мне,1,1,0
кажется,1,1,0
надо,1,1,0
расширить,1,1,0
список,1,1,0
поддерживаемых,1,1,0
multiplatform,1,1,0
probably,1,1,0
dictionary/wikipedia,1,1,0
000,1,1,0
big,1,1,0
plus,1,1,0
non-english,1,1,0
speakers,1,1,0
words,1,1,0
accents,1,1,0
umlauts,1,1,0
missing,1,1,0
misspelled,1,1,0
job,1,1,0
hero,1,1,0
idea,1,0,0
everytime,1,0,0
long,1,0,0
website,1,0,0
